code,name,industry,today_pct,stage,reason,metrics,optimization
000060,中金岭南,铅锌,10.07%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足,"MA50/200=6.79/5.89, bias200=14.6%, RPS50/120=62.5/78.9, 20日涨跌=8.3%, 低位距=52.7%, SOS量比=0.92",趋势轨：RPS阈值敏感
000066,中国长城,IT设备,9.99%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：MA50未站上MA200,"MA50/200=15.89/15.92, bias200=24.5%, RPS50/120=90.0/74.7, 20日涨跌=33.5%, 低位距=44.9%, SOS量比=3.50",事件驱动：不建议硬放宽
000338,潍柴动力,汽车配件,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=26.50/19.28, bias200=61.9%, RPS50/120=89.3/97.0, 20日涨跌=23.3%, 低位距=126.6%, SOS量比=1.28",事件驱动：不建议硬放宽
000402,金融街,全国地产,10.09%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：未突破近20日高点,"MA50/200=2.73/2.90, bias200=9.1%, RPS50/120=81.8/59.6, 20日涨跌=23.3%, 低位距=28.9%, SOS量比=3.26",L2旁路候选：可测试爆发前夜/试盘观察池
000510,新金路,化工原料,9.26%,L2淘汰,六通道均未通过；最接近潜伏通道，但仍差：不在MA200附近、短期RPS未降温,"MA50/200=16.17/10.12, bias200=39.8%, RPS50/120=51.1/98.4, 20日涨跌=-5.9%, 低位距=223.6%, SOS量比=0.52",事件驱动：不建议硬放宽
000553,安道麦A,农药化肥,9.97%,L2淘汰,六通道均未通过；最接近点火通道，但仍差：前日量比不足,"MA50/200=6.20/6.42, bias200=6.2%, RPS50/120=83.1/61.5, 20日涨跌=6.4%, 低位距=24.5%, SOS量比=0.82",L2旁路候选：可测试爆发前夜/试盘观察池
000620,盈新发展,全国地产,10.00%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：RS未跑赢大盘、RPS50不足、RPS120不足,"MA50/200=2.94/2.55, bias200=9.6%, RPS50/120=24.4/69.8, 20日涨跌=-1.4%, 低位距=79.5%, SOS量比=0.50",趋势轨：RPS阈值敏感
000783,长江证券,证券,10.01%,风控淘汰,stop_loss：主升趋势破位(跌破MA50或高位回撤)；参考价=8.11；L4=SOS,"L2通道=点火破局, 当前=7.99",风控：硬剔除改高风险观察
000802,北京文化,影视音像,9.98%,L1淘汰,市值不足：30.86亿 < 35.00亿,20日均额=8008.2万,L1流动性/市值
000811,冰轮环境,工程机械,8.38%,L2淘汰,六通道均未通过；最接近主升通道，但仍差：距MA200过高,"MA50/200=19.50/15.69, bias200=59.0%, RPS50/120=95.7/94.1, 20日涨跌=40.6%, 低位距=188.4%, SOS量比=1.34",事件驱动：不建议硬放宽
